abnormalities, multiple	chromosome disorders	-0.119505376346
abnormalities, multiple	congenital abnormalities	-0.489023970817
abnormalities, multiple	musculoskeletal abnormalities	-0.193014662755
abnormalities, multiple	musculoskeletal diseases	-0.0352534872527
abnormalities, multiple	skin abnormalities	-0.0504291497977
actinomycetales infections	ankylosis	-0.0900178253129
actinomycetales infections	arthritis, rheumatoid	-0.155844155845
actinomycetales infections	bacterial infections	-1.24970862471
actinomycetales infections	bacterial infections and mycoses	-1.15492654742
actinomycetales infections	gram-positive bacterial infections	-1.45454545455
actinomycetales infections	leprosy	-0.963536463537
actinomycetales infections	mycobacterium infections	-1.45454545455
actinomycetales infections	rheumatic diseases	-0.00274876828525
actinomycetales infections	spondylitis, ankylosing	-0.0900178253129
adenocarcinoma	albuminuria	-0.0551242236015
adenocarcinoma	ankylosis	-0.0037878787869
adenocarcinoma	carcinoma	-1.23457792208
adenocarcinoma	carcinoma, renal cell	-1.17944444445
adenocarcinoma	digestive system neoplasms	-0.233889349358
adenocarcinoma	gastrointestinal neoplasms	-0.0064102564115
adenocarcinoma	goiter	-0.0208333333328
adenocarcinoma	kidney diseases	-0.085542929293
adenocarcinoma	kidney neoplasms	-1.17692307692
adenocarcinoma	liver diseases	-0.0280835498451
adenocarcinoma	lymphoma	-0.122023809524
adenocarcinoma	lymphoma, non-hodgkin	-0.0803872053861
adenocarcinoma	myocardial infarction	-0.0536324786314
adenocarcinoma	neoplasms by histologic type	-0.0875737609848
adenocarcinoma	neoplasms by site	-0.0622829861112
adenocarcinoma	neoplasms, germ cell and embryonal	-0.166666666666
adenocarcinoma	neoplasms, glandular and epithelial	-0.791101773609
adenocarcinoma	neoplasms, nerve tissue	-0.149754346184
adenocarcinoma	neoplasms, neuroepithelial	-0.0416666666655
adenocarcinoma	neoplastic syndromes, hereditary	-0.0207219251329
adenocarcinoma	neuroectodermal tumors	-0.165061944519
adenocarcinoma	neuroendocrine tumors	-0.053571428571
adenocarcinoma	proteinuria	-0.0551242236015
adenocarcinoma	spondylitis, ankylosing	-0.0037878787869
adenocarcinoma	urogenital neoplasms	-0.234315075894
adenocarcinoma	urologic diseases	-0.0197584478444
adenocarcinoma	urologic neoplasms	-0.968445980544
adenocarcinoma	urological manifestations	-0.0551242236015
adnexal diseases	colorectal neoplasms	-0.025425554837
adnexal diseases	endocrine gland neoplasms	-0.666500166501
adnexal diseases	genital diseases, female	-1.42142266336
adnexal diseases	genital neoplasms, female	-1.09615384615
adnexal diseases	glioma	-0.148479427548
adnexal diseases	gonadal disorders	-0.751184937165
adnexal diseases	intestinal neoplasms	-0.025425554837
adnexal diseases	myocardial infarction	-0.0384615384613
adnexal diseases	neoplasms, neuroepithelial	-0.10282051282
adnexal diseases	ovarian diseases	-1.69230769231
adnexal diseases	ovarian neoplasms	-1.30374618542
adnexal diseases	rectal diseases	-0.0561142309862
adnexal diseases	urogenital neoplasms	-0.172122250043
adrenal gland diseases	disorders of sex development	-0.249970109997
adrenal gland diseases	myocardial infarction	-0.021116138762
albuminuria	amyotrophic lateral sclerosis	-0.171428571428
albuminuria	anemia	-0.0058155446098
albuminuria	anemia, aplastic	-0.0285714285691
albuminuria	aneurysm	-0.161083743843
albuminuria	ankylosis	-0.289377289377
albuminuria	arrhythmias, cardiac	-0.0774891774893
albuminuria	arterial occlusive diseases	-0.162729511866
albuminuria	arteriosclerosis	-0.182764603816
albuminuria	arthritis	-0.0126566416029
albuminuria	arthritis, rheumatoid	-0.0178571428575
albuminuria	asthma	-0.131428571428
albuminuria	ataxia	-0.0274891774888
albuminuria	basal ganglia diseases	-0.0974172719927
albuminuria	bile duct diseases	-0.0886328725037
albuminuria	biliary tract diseases	-0.114484126987
albuminuria	body weight	-0.051485551485
albuminuria	bone diseases, metabolic	-0.0619434765798
albuminuria	bone marrow diseases	-0.0706159408266
albuminuria	bronchial diseases	-0.158465608465
albuminuria	carcinoma	-0.105357142857
albuminuria	carcinoma, renal cell	-0.140873015874
albuminuria	cardiovascular abnormalities	-0.0484400656813
albuminuria	carotid artery diseases	-0.217405582922
albuminuria	celiac disease	-0.30999066293
albuminuria	cerebellar ataxia	-0.0274891774888
albuminuria	cerebellar diseases	-0.0124343741363
